name,t40_raw,t45_raw,t50_raw,t55_raw,t60_raw,t65_raw
fast.2,5.24E-01,4.93E-01,4.37E-01,4.78E-01,3.19E-01,6.52E-01
slow.3,4.95E-01,4.66E-01,3.91E-01,4.60E-01,2.83E-01,6.18E-01
fast.3,4.82E-01,4.54E-01,3.81E-01,4.53E-01,2.19E-01,4.60E-01
bleach.2,4.74E-01,4.28E-01,3.81E-01,3.97E-01,2.08E-01,4.65E-01
bleach.6,4.81E-01,4.75E-01,3.79E-01,4.18E-01,2.19E-01,4.34E-01
mid.2,5.10E-01,4.81E-01,3.93E-01,3.71E-01,2.86E-01,6.15E-01
basic.3,4.97E-01,4.57E-01,3.99E-01,4.11E-01,2.44E-01,5.38E-01
thermo.9,5.04E-01,4.62E-01,3.86E-01,4.38E-01,2.09E-01,4.72E-01
bleach.4,4.89E-01,4.45E-01,3.97E-01,4.16E-01,2.16E-01,5.00E-01
mid.3,4.86E-01,4.65E-01,3.75E-01,4.17E-01,2.48E-01,5.58E-01
photostable.2,4.91E-01,4.49E-01,4.00E-01,4.41E-01,2.52E-01,5.59E-01
bleach.1,4.90E-01,4.61E-01,3.78E-01,4.21E-01,2.71E-01,6.11E-01
fast.4,5.19E-01,4.92E-01,4.16E-01,4.23E-01,2.77E-01,5.96E-01
thermo.5,4.91E-01,4.72E-01,3.87E-01,4.24E-01,2.54E-01,5.28E-01
basic.6,4.51E-01,4.13E-01,3.49E-01,3.78E-01,2.10E-01,5.03E-01
acid.1,5.31E-01,5.11E-01,4.22E-01,4.58E-01,2.86E-01,5.73E-01
thermo.4,4.30E-01,4.22E-01,3.54E-01,3.84E-01,2.05E-01,4.49E-01
acid.2,4.98E-01,4.51E-01,3.35E-01,3.52E-01,2.22E-01,4.15E-01
thermo.6,4.63E-01,4.47E-01,3.75E-01,3.95E-01,2.48E-01,5.48E-01
bleach.5,5.01E-01,4.70E-01,3.96E-01,3.92E-01,2.78E-01,5.68E-01
slow.5,5.86E-01,5.58E-01,3.95E-01,3.80E-01,2.20E-01,5.09E-01
thermo.8,5.29E-01,5.02E-01,4.16E-01,4.58E-01,2.59E-01,5.39E-01
slow.4,4.09E-01,4.45E-01,3.93E-01,3.94E-01,2.41E-01,5.18E-01
slow.2,5.43E-01,5.14E-01,4.42E-01,4.99E-01,3.18E-01,6.30E-01
mid.4,5.01E-01,4.46E-01,3.97E-01,3.95E-01,2.55E-01,5.39E-01
mid.5,5.29E-01,5.21E-01,4.35E-01,4.85E-01,3.13E-01,6.38E-01
acid.3,5.38E-01,4.99E-01,4.28E-01,4.52E-01,2.97E-01,6.16E-01
acid.4,5.13E-01,4.63E-01,4.10E-01,4.47E-01,2.40E-01,5.31E-01
mid.6,5.03E-01,4.76E-01,4.15E-01,4.22E-01,2.36E-01,5.15E-01
mid.7,5.19E-01,5.20E-01,4.43E-01,4.42E-01,3.15E-01,6.24E-01
basic.4,5.24E-01,4.85E-01,4.48E-01,4.75E-01,3.12E-01,6.17E-01
em-blue-shift.2,5.18E-01,5.11E-01,4.17E-01,4.14E-01,3.23E-01,6.45E-01
mid.8,4.35E-01,4.04E-01,3.55E-01,3.84E-01,2.03E-01,4.60E-01
acid.5,4.85E-01,4.49E-01,3.85E-01,4.40E-01,2.62E-01,5.62E-01
em-blue-shift.1,5.28E-01,4.96E-01,4.34E-01,4.74E-01,2.68E-01,5.56E-01
mid.9,4.78E-01,4.57E-01,3.82E-01,4.08E-01,2.70E-01,5.78E-01
mid.10,4.65E-01,4.35E-01,3.70E-01,4.35E-01,3.02E-01,6.26E-01
mid.11,4.57E-01,4.35E-01,3.75E-01,4.42E-01,3.02E-01,6.03E-01
thermo.2,4.70E-01,4.63E-01,3.92E-01,4.47E-01,3.14E-01,5.90E-01
slow.1,3.83E-01,3.76E-01,3.38E-01,3.60E-01,1.92E-01,3.92E-01
thermo.1,4.44E-01,4.36E-01,3.75E-01,4.17E-01,2.62E-01,5.54E-01
thermo.3,4.40E-01,4.51E-01,3.86E-01,4.04E-01,2.68E-01,5.35E-01
basic.2,4.90E-01,4.73E-01,4.13E-01,4.26E-01,3.08E-01,6.52E-01
acid.6,5.08E-01,4.87E-01,4.10E-01,4.86E-01,2.83E-01,5.94E-01
mid.12,5.04E-01,4.83E-01,3.87E-01,4.27E-01,2.78E-01,5.07E-01
basic.1,4.90E-01,4.75E-01,3.64E-01,4.02E-01,2.16E-01,4.19E-01
bleach.3,4.91E-01,4.72E-01,3.72E-01,4.24E-01,2.54E-01,4.99E-01
mid.13,5.42E-01,5.07E-01,4.29E-01,4.41E-01,2.81E-01,6.22E-01
photostable.1,4.61E-01,4.12E-01,3.52E-01,4.00E-01,1.75E-01,3.91E-01
fast.1,5.09E-01,4.78E-01,4.03E-01,4.18E-01,2.30E-01,5.21E-01
PROSS-eGFP,4.94E-01,4.80E-01,4.00E-01,4.50E-01,2.68E-01,5.60E-01
eGFP,5.54E-01,5.06E-01,4.31E-01,4.71E-01,3.56E-01,7.39E-01
sf:acid.4,6.82E-01,7.11E-01,5.40E-01,5.43E-01,3.25E-01,6.10E-01
sf:acid.5,6.17E-01,6.14E-01,4.31E-01,4.54E-01,3.46E-01,6.18E-01
sf:mid.9,6.73E-01,7.30E-01,5.50E-01,5.61E-01,4.22E-01,6.94E-01
sf:em-blue-shift.2,6.23E-01,6.53E-01,5.00E-01,4.72E-01,2.62E-01,6.39E-01
sf:photostable.1,6.55E-01,7.26E-01,5.27E-01,5.08E-01,3.69E-01,6.34E-01
sf:mid.11,6.35E-01,6.68E-01,4.89E-01,5.19E-01,3.15E-01,6.38E-01
sf:bleach.2,6.02E-01,6.52E-01,4.30E-01,4.20E-01,2.03E-01,4.55E-01
sf:fast.3,6.58E-01,7.12E-01,4.90E-01,5.14E-01,3.34E-01,6.09E-01
sf:thermo.2,6.80E-01,7.27E-01,5.65E-01,5.66E-01,3.95E-01,6.80E-01
sf:bleach.3,4.34E-01,3.88E-01,2.59E-01,2.60E-01,1.64E-01,3.07E-01
sf:acid.3,6.11E-01,6.07E-01,4.93E-01,4.70E-01,2.53E-01,5.96E-01
sfGFP,6.74E-01,7.43E-01,5.65E-01,5.67E-01,4.21E-01,7.08E-01
sf:photostable.2,5.95E-01,6.18E-01,4.31E-01,4.38E-01,1.94E-01,4.84E-01
sf:em-blue-shift.1,6.73E-01,6.98E-01,5.26E-01,5.26E-01,3.16E-01,6.20E-01
sf:bleach.1,6.69E-01,6.37E-01,5.12E-01,5.49E-01,3.31E-01,7.36E-01
sf:mid.12,4.92E-01,4.43E-01,3.25E-01,3.18E-01,2.35E-01,4.26E-01
sf:mid.5,6.44E-01,6.36E-01,4.82E-01,5.12E-01,3.52E-01,6.58E-01
sf:thermo.9,6.82E-01,7.34E-01,5.47E-01,5.48E-01,4.23E-01,6.87E-01
sf:mid.7,6.11E-01,6.48E-01,4.66E-01,4.52E-01,2.58E-01,5.64E-01
sf:mid.10,5.85E-01,6.13E-01,4.64E-01,4.78E-01,3.15E-01,6.53E-01
